geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US37145,"37145",2223,377,2126,372,1957,362,0,12,19,31,0,12,0,12,23,35,127,116,0,12,127,116,97,97,53,65,0,12,0,12,0,12,0,12,44,71,0,12,0,12,0,12
86000US37146,"37146",7615,638,7524,646,7216,682,153,131,35,31,0,17,13,20,0,17,107,108,0,17,107,108,91,61,62,46,0,17,0,17,29,46,0,17,0,17,0,17,0,17,0,17
86000US37148,"37148",24547,618,23216,744,22004,759,413,170,37,27,76,63,9,17,0,23,677,238,0,23,677,238,1331,459,897,297,4,6,0,23,0,23,0,23,403,384,27,28,0,23,27,28
86000US37149,"37149",2780,480,2780,480,2695,494,85,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37150,"37150",4897,652,4472,595,4393,593,15,22,10,19,0,12,37,61,0,12,17,28,0,12,17,28,425,322,243,293,0,12,0,12,0,12,0,12,182,211,0,12,0,12,0,12
86000US37151,"37151",511,124,490,122,467,122,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,38,21,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37153,"37153",6426,676,6317,653,5918,610,134,144,40,59,217,180,0,17,0,17,8,15,0,17,8,15,109,86,107,86,1,3,0,17,0,17,0,17,1,3,0,17,0,17,0,17
86000US37165,"37165",39,23,39,23,37,23,0,12,0,12,0,12,0,12,0,12,2,4,0,12,2,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37166,"37166",14136,496,12600,494,12011,496,160,92,81,90,50,54,11,20,0,19,287,146,0,19,287,146,1536,88,1080,330,0,19,0,19,0,19,0,19,456,336,0,19,0,19,0,19
86000US37167,"37167",59514,999,53018,1152,41626,1358,7148,806,145,95,2892,596,0,29,37,48,1170,330,101,120,1069,298,6496,916,5537,885,150,107,0,29,0,29,0,29,356,182,453,305,277,253,176,139
86000US37172,"37172",30468,988,26875,984,22198,980,3874,334,109,97,178,97,42,50,0,26,474,209,0,26,474,209,3593,351,2263,535,19,25,27,34,0,26,0,26,1133,433,151,116,81,68,70,91
86000US37174,"37174",37004,1598,34771,1580,31378,1685,1748,791,0,26,811,370,0,26,34,50,800,569,0,26,800,569,2233,623,1951,667,0,26,94,314,0,26,0,26,164,127,24,38,24,38,0,26
86000US37179,"37179",15445,1542,15186,1546,14310,1441,211,204,0,19,14,22,0,19,0,19,651,517,0,19,651,517,259,186,232,178,0,19,0,19,0,19,0,19,27,30,0,19,0,19,0,19
